Starting training on 'adult' dataset...
Number of features (actions): 14
------------------------------
Episode 9900 | Feature: relationship         | Reward:   0.1717 | Acc: 0.7233 | DPG: 0.4569 | Loss:   0.0021
Episode 10000 | Feature: relationship         | Reward:   0.1767 | Acc: 0.7167 | DPG: 0.3095 | Loss:   0.0035
Episode 10100 | Feature: relationship         | Reward:   0.1983 | Acc: 0.7300 | DPG: 0.3496 | Loss:   0.0119
Episode 10200 | Feature: education.num        | Reward:   0.1133 | Acc: 0.7667 | DPG: 0.0756 | Loss:   0.3130
Episode 10300 | Feature: relationship         | Reward:   0.1783 | Acc: 0.7067 | DPG: 0.2859 | Loss:   0.0020
Episode 10400 | Feature: relationship         | Reward:   0.1867 | Acc: 0.7067 | DPG: 0.3824 | Loss:   0.0020
Episode 10500 | Feature: relationship         | Reward:   0.2250 | Acc: 0.7167 | DPG: 0.3245 | Loss:   0.0026
Episode 10600 | Feature: relationship         | Reward:   0.2683 | Acc: 0.6700 | DPG: 0.4568 | Loss:   0.0057
Episode 10700 | Feature: relationship         | Reward:   0.1850 | Acc: 0.7233 | DPG: 0.2453 | Loss:   0.0018
Episode 10800 | Feature: relationship         | Reward:   0.1750 | Acc: 0.6633 | DPG: 0.3509 | Loss:   0.0058
Episode 10900 | Feature: relationship         | Reward:   0.1883 | Acc: 0.6200 | DPG: 0.2855 | Loss:   0.0033
Episode 11000 | Feature: relationship         | Reward:   0.1833 | Acc: 0.7233 | DPG: 0.2933 | Loss:   0.0053
Episode 11100 | Feature: relationship         | Reward:   0.1717 | Acc: 0.6700 | DPG: 0.2692 | Loss:   0.0031
Episode 11200 | Feature: relationship         | Reward:   0.1850 | Acc: 0.6933 | DPG: 0.3419 | Loss:   0.0029
Episode 11300 | Feature: relationship         | Reward:   0.2550 | Acc: 0.6500 | DPG: 0.3485 | Loss:   0.0102
Episode 11400 | Feature: relationship         | Reward:   0.1950 | Acc: 0.7000 | DPG: 0.2432 | Loss:   0.0039
Episode 11500 | Feature: relationship         | Reward:   0.2250 | Acc: 0.6633 | DPG: 0.3235 | Loss:   0.0069
Episode 11600 | Feature: relationship         | Reward:   0.2367 | Acc: 0.7233 | DPG: 0.3444 | Loss:   0.0022
Episode 11700 | Feature: relationship         | Reward:   0.2283 | Acc: 0.6800 | DPG: 0.3652 | Loss:   0.0022
Episode 11800 | Feature: relationship         | Reward:   0.1950 | Acc: 0.7267 | DPG: 0.2846 | Loss:   0.0051
Episode 11900 | Feature: relationship         | Reward:   0.1967 | Acc: 0.7167 | DPG: 0.2704 | Loss:   0.0045
Episode 12000 | Feature: relationship         | Reward:   0.1600 | Acc: 0.7233 | DPG: 0.2029 | Loss:   0.0004
Episode 12100 | Feature: relationship         | Reward:   0.1583 | Acc: 0.7100 | DPG: 0.2359 | Loss:  -0.0005
Episode 12200 | Feature: relationship         | Reward:   0.1517 | Acc: 0.7467 | DPG: 0.3331 | Loss:  -0.0002
Episode 12300 | Feature: relationship         | Reward:   0.2117 | Acc: 0.7067 | DPG: 0.3891 | Loss:   0.0038
Episode 12400 | Feature: relationship         | Reward:   0.1533 | Acc: 0.7400 | DPG: 0.2222 | Loss:  -0.0008
Episode 12500 | Feature: relationship         | Reward:   0.1933 | Acc: 0.7167 | DPG: 0.2313 | Loss:   0.0007
Episode 12600 | Feature: relationship         | Reward:   0.2050 | Acc: 0.7267 | DPG: 0.3185 | Loss:   0.0010
Episode 12700 | Feature: relationship         | Reward:   0.1733 | Acc: 0.7133 | DPG: 0.2713 | Loss:   0.0011
Episode 12800 | Feature: relationship         | Reward:   0.1683 | Acc: 0.7767 | DPG: 0.3167 | Loss:   0.0002
Episode 12900 | Feature: education.num        | Reward:   0.1333 | Acc: 0.7900 | DPG: 0.0201 | Loss:   0.4696
Episode 13000 | Feature: relationship         | Reward:   0.1833 | Acc: 0.7167 | DPG: 0.2648 | Loss:   0.0034
Episode 13100 | Feature: relationship         | Reward:   0.1850 | Acc: 0.7567 | DPG: 0.2542 | Loss:   0.0044
Episode 13200 | Feature: relationship         | Reward:   0.1983 | Acc: 0.7233 | DPG: 0.2902 | Loss:   0.0049
Episode 13300 | Feature: relationship         | Reward:   0.1917 | Acc: 0.7600 | DPG: 0.2619 | Loss:   0.0027
Episode 13400 | Feature: relationship         | Reward:   0.1717 | Acc: 0.7200 | DPG: 0.4050 | Loss:   0.0016
Episode 13500 | Feature: relationship         | Reward:   0.1917 | Acc: 0.7133 | DPG: 0.3212 | Loss:   0.0046
Episode 13600 | Feature: relationship         | Reward:   0.1567 | Acc: 0.6733 | DPG: 0.6229 | Loss:   0.0006
Episode 13700 | Feature: education.num        | Reward:   0.0967 | Acc: 0.8067 | DPG: 0.0436 | Loss:   0.3112
Episode 13800 | Feature: relationship         | Reward:   0.2367 | Acc: 0.6900 | DPG: 0.3583 | Loss:   0.0064
Episode 13900 | Feature: relationship         | Reward:   0.1767 | Acc: 0.7433 | DPG: 0.3193 | Loss:   0.0079
Episode 14000 | Feature: age                  | Reward:   0.0050 | Acc: 0.8767 | DPG: 0.2358 | Loss:   0.0060
Episode 14100 | Feature: relationship         | Reward:   0.1833 | Acc: 0.6967 | DPG: 0.2842 | Loss:   0.0028
Episode 14200 | Feature: relationship         | Reward:   0.1733 | Acc: 0.7433 | DPG: 0.2276 | Loss:   0.0035
Episode 14300 | Feature: relationship         | Reward:   0.1733 | Acc: 0.6667 | DPG: 0.3483 | Loss:   0.0015
Episode 14400 | Feature: relationship         | Reward:   0.1650 | Acc: 0.7500 | DPG: 0.3072 | Loss:   0.0009
Episode 14500 | Feature: relationship         | Reward:   0.1950 | Acc: 0.6600 | DPG: 0.3191 | Loss:   0.0028
Episode 14600 | Feature: relationship         | Reward:   0.1683 | Acc: 0.7300 | DPG: 0.3420 | Loss:   0.0029
Episode 14700 | Feature: relationship         | Reward:   0.1850 | Acc: 0.7000 | DPG: 0.3663 | Loss:   0.0029
Episode 14800 | Feature: relationship         | Reward:   0.1983 | Acc: 0.6800 | DPG: 0.3143 | Loss:   0.0036
Episode 14900 | Feature: relationship         | Reward:   0.1883 | Acc: 0.6867 | DPG: 0.4282 | Loss:   0.0030
Episode 15000 | Feature: relationship         | Reward:   0.1600 | Acc: 0.7000 | DPG: 0.2542 | Loss:  -0.0000
Episode 15100 | Feature: relationship         | Reward:   0.1933 | Acc: 0.7000 | DPG: 0.4424 | Loss:   0.0004
Episode 15200 | Feature: relationship         | Reward:   0.1433 | Acc: 0.7200 | DPG: 0.2603 | Loss:  -0.0013
Episode 15300 | Feature: relationship         | Reward:   0.1383 | Acc: 0.7667 | DPG: 0.2802 | Loss:  -0.0018
Episode 15400 | Feature: fnlwgt               | Reward:   0.0050 | Acc: 0.8400 | DPG: 0.0779 | Loss:   0.0237
Episode 15500 | Feature: relationship         | Reward:   0.2000 | Acc: 0.6733 | DPG: 0.2501 | Loss:   0.0007
Episode 15600 | Feature: education.num        | Reward:   0.0883 | Acc: 0.7933 | DPG: 0.1072 | Loss:   0.3287
Episode 15700 | Feature: relationship         | Reward:   0.1650 | Acc: 0.6967 | DPG: 0.2454 | Loss:  -0.0006
Episode 15800 | Feature: relationship         | Reward:   0.1833 | Acc: 0.6800 | DPG: 0.2326 | Loss:   0.0006
Episode 15900 | Feature: relationship         | Reward:   0.1717 | Acc: 0.7000 | DPG: 0.2948 | Loss:   0.0043
Episode 16000 | Feature: relationship         | Reward:   0.1767 | Acc: 0.7300 | DPG: 0.3319 | Loss:   0.0011
Episode 16100 | Feature: relationship         | Reward:   0.2433 | Acc: 0.7633 | DPG: 0.4019 | Loss:   0.0050
Episode 16200 | Feature: relationship         | Reward:   0.1650 | Acc: 0.7333 | DPG: 0.2240 | Loss:   0.0011
Episode 16300 | Feature: relationship         | Reward:   0.2017 | Acc: 0.7633 | DPG: 0.2372 | Loss:   0.0041
Episode 16400 | Feature: relationship         | Reward:   0.1917 | Acc: 0.7100 | DPG: 0.2477 | Loss:   0.0016
Episode 16500 | Feature: relationship         | Reward:   0.1900 | Acc: 0.7033 | DPG: 0.2920 | Loss:   0.0004
Episode 16600 | Feature: relationship         | Reward:   0.1933 | Acc: 0.7100 | DPG: 0.2524 | Loss:  -0.0001
Episode 16700 | Feature: education            | Reward:   0.0000 | Acc: 0.8133 | DPG: 0.2791 | Loss:  -0.0098
Episode 16800 | Feature: relationship         | Reward:   0.1750 | Acc: 0.7200 | DPG: 0.2211 | Loss:   0.0050
Episode 16900 | Feature: relationship         | Reward:   0.1983 | Acc: 0.6633 | DPG: 0.3077 | Loss:   0.0081
Episode 17000 | Feature: education.num        | Reward:   0.0983 | Acc: 0.7633 | DPG: 0.1574 | Loss:   0.2735
Episode 17100 | Feature: relationship         | Reward:   0.1717 | Acc: 0.7100 | DPG: 0.2825 | Loss:   0.0005
Episode 17200 | Feature: relationship         | Reward:   0.1967 | Acc: 0.6567 | DPG: 0.4086 | Loss:   0.0036
Episode 17300 | Feature: relationship         | Reward:   0.2200 | Acc: 0.7067 | DPG: 0.3412 | Loss:   0.0098
Episode 17400 | Feature: relationship         | Reward:   0.1750 | Acc: 0.6967 | DPG: 0.2695 | Loss:   0.0013
Episode 17500 | Feature: relationship         | Reward:   0.2000 | Acc: 0.6867 | DPG: 0.5991 | Loss:   0.0024
Episode 17600 | Feature: relationship         | Reward:   0.1683 | Acc: 0.7167 | DPG: 0.3025 | Loss:  -0.0003
Episode 17700 | Feature: relationship         | Reward:   0.2083 | Acc: 0.7133 | DPG: 0.2965 | Loss:   0.0010
Episode 17800 | Feature: relationship         | Reward:   0.1817 | Acc: 0.7100 | DPG: 0.2525 | Loss:  -0.0003
Episode 17900 | Feature: relationship         | Reward:   0.2083 | Acc: 0.7000 | DPG: 0.3202 | Loss:   0.0007
Episode 18000 | Feature: relationship         | Reward:   0.2000 | Acc: 0.7100 | DPG: 0.3974 | Loss:   0.0001
Episode 18100 | Feature: relationship         | Reward:   0.2000 | Acc: 0.6867 | DPG: 0.3905 | Loss:   0.0009
Episode 18200 | Feature: relationship         | Reward:   0.1750 | Acc: 0.7167 | DPG: 0.2230 | Loss:  -0.0006
Episode 18300 | Feature: relationship         | Reward:   0.1733 | Acc: 0.6967 | DPG: 0.3857 | Loss:   0.0001
Episode 18400 | Feature: relationship         | Reward:   0.1783 | Acc: 0.6933 | DPG: 0.2473 | Loss:   0.0001
Episode 18500 | Feature: relationship         | Reward:   0.2050 | Acc: 0.7200 | DPG: 0.4036 | Loss:   0.0014
Episode 18600 | Feature: relationship         | Reward:   0.1933 | Acc: 0.7267 | DPG: 0.2778 | Loss:   0.0007
Episode 18700 | Feature: relationship         | Reward:   0.1883 | Acc: 0.6567 | DPG: 0.3104 | Loss:   0.0008
Episode 18800 | Feature: relationship         | Reward:   0.2017 | Acc: 0.7033 | DPG: 0.2879 | Loss:   0.0041
Episode 18900 | Feature: relationship         | Reward:   0.1900 | Acc: 0.7033 | DPG: 0.2494 | Loss:   0.0021
Episode 19000 | Feature: relationship         | Reward:   0.2167 | Acc: 0.6967 | DPG: 0.3931 | Loss:   0.0060
Episode 19100 | Feature: relationship         | Reward:   0.1833 | Acc: 0.7200 | DPG: 0.3470 | Loss:   0.0021
Episode 19200 | Feature: relationship         | Reward:   0.1600 | Acc: 0.6667 | DPG: 0.2985 | Loss:   0.0014
Episode 19300 | Feature: relationship         | Reward:   0.1667 | Acc: 0.7400 | DPG: 0.2773 | Loss:   0.0016
Episode 19400 | Feature: relationship         | Reward:   0.1550 | Acc: 0.6767 | DPG: 0.3077 | Loss:   0.0002
Episode 19500 | Feature: relationship         | Reward:   0.2183 | Acc: 0.6933 | DPG: 0.2506 | Loss:   0.0019
